Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,sk-process-framework\dotnet\ProductDocumentation\ProductDocumentation.csproj,File,sk-process-framework\dotnet\ProductDocumentation\ProductDocumentation.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sk-csharp-chatgpt-plugin\semantic-functions-generator\semantic-functions-generator.csproj,File,sk-csharp-chatgpt-plugin\semantic-functions-generator\semantic-functions-generator.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sk_csharp_apim_demo\sk_csharp_apim_demo.csproj,File,sk_csharp_apim_demo\sk_csharp_apim_demo.csproj,,,Microsoft.Extensions.Logging.Console 6.0.0,,,,,"Microsoft.Extensions.Logging.Console, 6.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sk_csharp_apim_demo\sk_csharp_apim_demo.csproj,File,sk_csharp_apim_demo\sk_csharp_apim_demo.csproj,,,Microsoft.Extensions.Logging.Debug 6.0.0,,,,,"Microsoft.Extensions.Logging.Debug, 6.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,sk_csharp_apim_demo\sk_csharp_apim_demo.csproj,File,sk_csharp_apim_demo\sk_csharp_apim_demo.csproj,,,Azure.Identity 1.13.2,,,,,"Azure.Identity, 1.13.2  Recommendation:  This version takes a dependency on a deprecated version of MSAL .NET (Microsoft.Identity.Client). Remove Azure.Identity, and replace with new package Azure.Identity, 1.19.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,sk_csharp_apim_demo\sk_csharp_apim_demo.csproj,File,sk_csharp_apim_demo\sk_csharp_apim_demo.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,sk_csharp_apim_demo\sk_csharp_apim_demo.csproj,File,sk_csharp_apim_demo\Program.cs,13,4,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,builder         .SetMinimumLevel(LogLevel.Warning)         .AddConsole()         .AddDebug();
AzureFunctionsUpgrade.0002,Enable the use of the V2 model for Azure Functions projects and enable Application Insights.,Active,Mandatory,3,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,,,,,,,,
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 6.0.1,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 6.0.1  Recommendation:  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,,,Microsoft.Azure.Functions.Worker.Extensions.Http 3.0.13,,,,,"Microsoft.Azure.Functions.Worker.Extensions.Http, 3.0.13  Recommendation:  Remove Microsoft.Azure.Functions.Worker.Extensions.Http, and replace with new package Microsoft.Azure.Functions.Worker.Extensions.Http 3.3.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,,,Microsoft.Azure.Functions.Worker.Sdk 1.12.0,,,,,"Microsoft.Azure.Functions.Worker.Sdk, 1.12.0  Recommendation:  Remove Microsoft.Azure.Functions.Worker.Sdk, and replace with new package Microsoft.Azure.Functions.Worker.Sdk 2.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,,,Microsoft.Azure.Functions.Worker 1.18.0,,,,,"Microsoft.Azure.Functions.Worker, 1.18.0  Recommendation:  Remove Microsoft.Azure.Functions.Worker, and replace with new package Microsoft.Azure.Functions.Worker 2.51.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\Models\AppSettings.cs,54,8,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"return configuration.Get<AppSettings>()                ?? throw new InvalidDataException($""Invalid app settings in '{configFile}', please provide configuration settings using instructions in the README."");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\Program.cs,12,0,T:Microsoft.Extensions.Hosting.HostBuilder,,,,,"var host = new HostBuilder()     .ConfigureFunctionsWorkerDefaults()     .ConfigureServices(services =>     {         services             .AddScoped<IKernel>((providers) =>             {                 // This will be called each time a new Kernel is needed                  // Get a logger instance                 ILogger<IKernel> logger = providers                     .GetRequiredService<ILoggerFactory>()                     .CreateLogger<IKernel>();                  // Register your AI Providers...                 var appSettings = AppSettings.LoadSettings();                 IKernel kernel = new KernelBuilder()                     .WithChatCompletionService(appSettings.Kernel)                     .WithLogger(logger)                     .Build();                  // Load your semantic functions...                 kernel.ImportPromptsFromDirectory(appSettings.AIPlugin.NameForModel, semanticFunctionsFolder);                  return kernel;             })             .AddScoped<IAIPluginRunner, AIPluginRunner>();     })     .Build();"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\AiPluginJson.cs,14,8,T:System.Uri,,,,,"var currentDomain = $""{req.Url.Scheme}://{req.Url.Host}:{req.Url.Port}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\AiPluginJson.cs,14,8,T:System.Uri,,,,,"var currentDomain = $""{req.Url.Scheme}://{req.Url.Host}:{req.Url.Port}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\AiPluginJson.cs,14,8,T:System.Uri,,,,,"var currentDomain = $""{req.Url.Scheme}://{req.Url.Host}:{req.Url.Port}"";"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,File,sk-csharp-chatgpt-plugin\azure-function\sk-chatgpt-azure-function.csproj,,,Microsoft.Azure.WebJobs.Extensions.OpenApi 2.0.0-preview2,,,,,"Microsoft.Azure.WebJobs.Extensions.OpenApi, 2.0.0-preview2  Recommendation:  Package functionality included with new framework reference"
AzureFunctionsUpgrade.0002,Enable the use of the V2 model for Azure Functions projects and enable Application Insights.,Active,Mandatory,3,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,File,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,,,,,,,,
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,File,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 6.0.1,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 6.0.1  Recommendation:  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,File,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,,,Microsoft.Azure.Functions.Worker.Extensions.Http 3.0.13,,,,,"Microsoft.Azure.Functions.Worker.Extensions.Http, 3.0.13  Recommendation:  Remove Microsoft.Azure.Functions.Worker.Extensions.Http, and replace with new package Microsoft.Azure.Functions.Worker.Extensions.Http 3.3.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,File,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,,,Microsoft.Azure.Functions.Worker.Sdk 1.12.0,,,,,"Microsoft.Azure.Functions.Worker.Sdk, 1.12.0  Recommendation:  Remove Microsoft.Azure.Functions.Worker.Sdk, and replace with new package Microsoft.Azure.Functions.Worker.Sdk 2.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,File,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,,,Microsoft.Azure.Functions.Worker 1.18.0,,,,,"Microsoft.Azure.Functions.Worker, 1.18.0  Recommendation:  Remove Microsoft.Azure.Functions.Worker, and replace with new package Microsoft.Azure.Functions.Worker 2.51.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,File,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,File,sk-csharp-azure-functions\Program.cs,49,12,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,builder                 .SetMinimumLevel(kernelSettings.LogLevel ?? LogLevel.Warning)                 .AddConsole()                 .AddDebug();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,File,sk-csharp-azure-functions\Program.cs,17,8,T:Microsoft.Extensions.Hosting.HostBuilder,,,,,"var host = new HostBuilder()             .ConfigureFunctionsWorkerDefaults()             .ConfigureAppConfiguration(configuration =>             {                 var config = configuration.SetBasePath(Directory.GetCurrentDirectory())                     .AddJsonFile(""local.settings.json"", optional: true, reloadOnChange: true);                  var builtConfig = config.Build();             })             .ConfigureServices(services =>             {                 services.AddSingleton<IOpenApiConfigurationOptions>(_ => s_apiConfigOptions);                 services.AddTransient((provider) => CreateKernel(provider));                   // return JSON with expected lowercase naming                 services.Configure<JsonSerializerOptions>(options =>                 {                     options.PropertyNamingPolicy = JsonNamingPolicy.CamelCase;                 });             })             .Build();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,File,sk-csharp-azure-functions\config\KernelSettings.cs,87,8,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"return configuration.Get<KernelSettings>()                ?? throw new InvalidDataException(""Invalid semantic kernel settings in user secrets, please provide configuration settings using instructions in the README."");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,File,sk-csharp-azure-functions\config\KernelSettings.cs,74,8,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"return configuration.Get<KernelSettings>()                ?? throw new InvalidDataException($""Invalid semantic kernel settings in '{configFile}', please provide configuration settings using instructions in the README."");"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,File,sk-csharp-azure-functions\sk-csharp-azure-functions.csproj,,,Microsoft.Azure.WebJobs.Extensions.OpenApi 2.0.0-preview2,,,,,"Microsoft.Azure.WebJobs.Extensions.OpenApi, 2.0.0-preview2  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,sk-typescript-console-chat\sk-typescript-console-chat.csproj,File,sk-typescript-console-chat\sk-typescript-console-chat.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
